items_processed,exact_counters,approx_counters,approx_percentage
50,17,14,82.35294117647058
100,22,17,77.27272727272727
150,26,18,69.23076923076923
200,29,22,75.86206896551724
250,32,24,75.0
300,38,26,68.42105263157895
350,39,28,71.7948717948718
400,41,30,73.17073170731707
450,42,32,76.19047619047619
500,46,34,73.91304347826086
550,53,38,71.69811320754717
600,63,47,74.60317460317461
650,64,50,78.125
700,65,52,80.0
750,69,56,81.15942028985508
800,74,59,79.72972972972973
850,74,61,82.43243243243244
900,76,62,81.57894736842105
950,78,66,84.61538461538461
1000,79,67,84.81012658227847
1050,79,68,86.07594936708861
1100,80,70,87.5
1150,80,71,88.75
1200,80,73,91.25
1250,86,76,88.37209302325581
1300,87,78,89.65517241379311
1350,89,81,91.01123595505618
1400,89,81,91.01123595505618
1450,90,84,93.33333333333333
